Starting qTest Automation Agent with command: C:\Program Files (x86)\Java\jdk1.8.0_74/bin/java -server -Xms512M -Xmx1024M -XX:PermSize=128M -XX:MaxPermSize=256M    -Duser.language=en -Dorg.eclipse.jetty.server.Request.maxFormContentSize=30000000 -Duser.country=US -Dagent.config.dir=/c/watir_cucumber_template-master/lib/qtest-automation-1.1.0/config -Dagent.server.port=6789 -Dagent.server.host=localhost -Djava.io.tmpdir=/tmp -jar /c/watir_cucumber_template-master/lib/qtest-automation-1.1.0/lib/agent.jar
Starting qTest Automation Agent in directory: /c/watir_cucumber_template-master/lib/qtest-automation-1.1.0
2016-04-18 14:29:26,765  INFO [main] H2Database:? - [db] Using connection configuration jdbc:h2:C:\watir_cucumber_template-master\lib\qtest-automation-1.1.0\db\h2db\automation;DB_CLOSE_DELAY=-1;DB_CLOSE_ON_EXIT=FALSE;MVCC=FALSE;CACHE_SIZE=131072;TRACE_LEVEL_FILE=1;TRACE_MAX_FILE_SIZE=16;DATABASE_EVENT_LISTENER='com.qasymphony.qtest.automation.agent.server.database.util.H2EventListener' [User: sa]
2016-04-18 14:29:26,775  INFO [main] H2Database:? - [db] Creating data source with URL=jdbc:h2:C:\watir_cucumber_template-master\lib\qtest-automation-1.1.0\db\h2db\automation;DB_CLOSE_DELAY=-1;DB_CLOSE_ON_EXIT=FALSE;MVCC=FALSE;CACHE_SIZE=131072;TRACE_LEVEL_FILE=1;TRACE_MAX_FILE_SIZE=16;DATABASE_EVENT_LISTENER='com.qasymphony.qtest.automation.agent.server.database.util.H2EventListener'
2016-04-18 14:29:26,775  INFO [main] DbDeployMigration:? - [MigrateDB] Upgrading database at org.apache.commons.dbcp.BasicDataSource@ea88a1. This might take a while depending on the size of the database
2016-04-18 14:29:26,895  INFO [main] H2EventListener:? - [db] Initializing database: jdbc:h2:C:\watir_cucumber_template-master\lib\qtest-automation-1.1.0\db\h2db\automation
2016-04-18 14:29:27,125  INFO [main] H2EventListener:? - [db] Database is opened
2016-04-18 14:29:27,145  INFO [main] H2EventListener:? - [db] Initializing database: jdbc:h2:C:\watir_cucumber_template-master\lib\qtest-automation-1.1.0\db\h2db\automation
2016-04-18 14:29:27,205  INFO [main] H2EventListener:? - [db] Initializing database: jdbc:h2:C:\watir_cucumber_template-master\lib\qtest-automation-1.1.0\db\h2db\automation
2016-04-18 14:29:27,205  INFO [main] DbDeployMigration:? - [MigrateDB] Database upgraded
2016-04-18 14:29:27,205  INFO [main] H2EventListener:? - [db] Closing database
2016-04-18 14:29:27,215  INFO [main] H2Database:? - [db] Using connection configuration jdbc:h2:C:\watir_cucumber_template-master\lib\qtest-automation-1.1.0\db\h2db\automation;DB_CLOSE_DELAY=-1;DB_CLOSE_ON_EXIT=FALSE;MVCC=TRUE;CACHE_SIZE=131072;TRACE_LEVEL_FILE=1;TRACE_MAX_FILE_SIZE=16;DATABASE_EVENT_LISTENER='com.qasymphony.qtest.automation.agent.server.database.util.H2EventListener' [User: sa]
2016-04-18 14:29:27,215  INFO [main] H2Database:? - [db] Creating data source with URL=jdbc:h2:C:\watir_cucumber_template-master\lib\qtest-automation-1.1.0\db\h2db\automation;DB_CLOSE_DELAY=-1;DB_CLOSE_ON_EXIT=FALSE;MVCC=TRUE;CACHE_SIZE=131072;TRACE_LEVEL_FILE=1;TRACE_MAX_FILE_SIZE=16;DATABASE_EVENT_LISTENER='com.qasymphony.qtest.automation.agent.server.database.util.H2EventListener'
2016-04-18 14:29:27,565  INFO [main] ServerVersion:? - [Startup] qTest Automation Version: 1.0.0
2016-04-18 14:29:27,585  INFO [main] ServerVersion:? - [Startup] PID: 3968
2016-04-18 14:29:27,585  INFO [main] ServerVersion:? - [Startup] JVM properties: {java.runtime.name=Java(TM) SE Runtime Environment, sun.boot.library.path=C:\Program Files (x86)\Java\jdk1.8.0_74\jre\bin, java.vm.version=25.74-b02, agent.config.dir=C:\watir_cucumber_template-master\lib\qtest-automation-1.1.0\config, java.vm.vendor=Oracle Corporation, java.vendor.url=http://java.oracle.com/, agent.server.host=localhost, path.separator=;, java.vm.name=Java HotSpot(TM) Client VM, file.encoding.pkg=sun.io, user.script=, sun.java.launcher=SUN_STANDARD, user.country=US, sun.os.patch.level=Service Pack 1, java.vm.specification.name=Java Virtual Machine Specification, user.dir=C:\watir_cucumber_template-master\lib\qtest-automation-1.1.0, java.runtime.version=1.8.0_74-b02, java.awt.graphicsenv=sun.awt.Win32GraphicsEnvironment, java.endorsed.dirs=C:\Program Files (x86)\Java\jdk1.8.0_74\jre\lib\endorsed, os.arch=x86, java.io.tmpdir=C:\Users\mcgrathj\AppData\Local\Temp\, line.separator=
